null, Total, N/A (GQ), Mobile Home or Trailer, One-family house detached, One-family house attached, 2 Apartments, 3-4 Apartments, 5-9 Apartments, 10-19 Apartments, 20-49 Apartments, 50 or More Apartments," Boat, RV, van, etc."
Total RECODE5,"42,357,933",0,"1,898,030","12,173,428","2,650,045","3,300,008","4,396,128","4,902,053","4,674,866","3,499,328","4,822,990","41,057"
Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0
Between 1 and 12,0,0,0,0,0,0,0,0,0,0,0,0
Between 13 and 17,"16,082",0,820,"4,525",400,1694,2097,"1,936",2052,967,"1,504",87
Between 18 and 22,"2,098,613",0,89185,"396,774",101886,155892,259978,"334,895",352978,217738,"187,028",2259
Between 23 and 27,"5,229,821",0,208702,"1,129,693",325209,413974,593251,"792,072",774065,492805,"496,831",3219
Between 28 and 32,"5,676,070",0,232899,"1,550,344",394382,441574,614275,"724,092",720992,466280,"529,007",2225
Between 33 and 37,"4,898,538",0,"224,558","1,684,697","352,921","370,890","488,681","532,561","518,661","339,655","383,512","2,402"
Between 38 and 42,"4,324,977",0,"216,425","1,569,049","297,921","347,778","430,985","448,591","424,273","286,358","299,840","3,757"
Between 43 and 47,"3,825,369",0,"189,666","1,331,545","273,479","309,027","395,286","408,722","389,767","243,335","280,895","3,647"
Between 48 and 52,"3,694,545",0,"192,063","1,236,112","240,157","304,879","381,439","405,392","355,517","267,645","308,975","2,366"
Between 53 and 57,"3,227,648",0,"170,044","1,008,930","190,063","273,923","351,991","348,799","318,005","240,396","319,721","5,776"
Between 58 and 62,"2,626,121",0,"118,910","773,689","147,196","224,441","276,717","294,362","254,279","218,180","313,425","4,922"
Between 63 and 67,"2,027,177",0,"86,407","548,469","104,324","165,365","207,711","215,982","198,400","181,171","315,167","4,181"
Between 68 and 72,"1,383,251",0,"65,939","335,572","71,806","102,399","141,719","137,820","120,444","132,279","272,850","2,423"
Between 73 and 77,"1,049,341",0,"47,430","225,489","53,491","71,218","95,162","101,322","85,837","111,652","255,742","1,998"
Between 78 and 82,"845,407",0,"26,976","171,923","38,620","49,545","70,354","71,373","66,139","97,787","252,217",473
Between 83 and 87,"741,719",0,"16,847","121,070","34,368","41,011","48,232","47,785","48,827","96,778","285,927",874
Between 88 and 92,"378,859",0,"6,809","49,582","13,829","16,215","21,770","21,459","23,724","56,687","168,478",306
Between 93 and 97,"314,395",0,"4,350","35,965","9,993","10,183","16,480","14,890","20,906","49,615","151,871",142
Between 98 and 99,0,0,0,0,0,0,0,0,0,0,0,0
