null,Total,N/A (GQ),Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
Total RECODE1,"37,761,753",0,"1,800,526","10,051,427","2,206,345","3,229,303","4,176,918","4,610,668","4,281,850","3,175,990","4,193,412","35,314"
Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0
Between 1 and 12,0,0,0,0,0,0,0,0,0,0,0,0
Between 13 and 17,"24,455",0,"1,224","6,232","1,027","2,346","3,490","3,855","2,992","1,639","1,650",0
Between 18 and 22,"2,415,863",0,"120,953","435,856","110,842","202,900","316,616","397,529","403,969","235,424","190,600","1,174"
Between 23 and 27,"5,226,839",0,"256,281","1,172,722","307,291","444,132","639,654","763,722","769,369","457,231","414,206","2,231"
Between 28 and 32,"4,902,906",0,"238,271","1,329,366","310,241","433,938","566,624","652,732","602,314","387,942","376,671","4,807"
Between 33 and 37,"4,289,242",0,"217,404","1,295,263","289,049","382,063","447,566","512,799","498,860","310,469","332,899","2,870"
Between 38 and 42,"3,845,892",0,"195,662","1,224,636","265,447","332,364","415,142","441,020","396,788","277,517","293,293","4,023"
Between 43 and 47,"3,596,831",0,"190,922","1,148,502","224,604","322,286","387,245","405,504","367,930","255,532","292,172","2,134"
Between 48 and 52,"3,222,835",0,"153,218","986,559","194,273","299,100","357,682","362,994","328,730","249,646","287,367","3,266"
Between 53 and 57,"2,600,914",0,"125,741","748,078","145,248","242,283","287,388","300,750","268,189","210,164","269,730","3,343"
Between 58 and 62,"2,022,035",0,"95,059","541,443","108,707","172,427","232,523","247,287","201,499","166,835","251,746","4,509"
Between 63 and 67,"1,423,911",0,"69,102","351,841","70,202","117,879","155,494","151,548","127,544","134,408","243,562","2,331"
Between 68 and 72,"1,089,201",0,"47,912","244,445","50,217","87,025","110,808","110,091","94,647","109,970","232,203","1,883"
Between 73 and 77,"911,761",0,"33,978","200,274","41,544","67,737","87,880","88,542","70,787","98,745","221,272","1,002"
Between 78 and 82,"887,810",0,"28,417","168,219","39,242","58,999","78,286","79,190","64,804","103,446","266,055","1,152"
Between 83 and 87,"744,021",0,"16,467","123,475","31,064","37,964","53,839","60,501","50,818","95,280","274,024",589
Between 88 and 92,"308,765",0,"5,937","44,620","11,148","14,934","19,797","18,474","17,509","42,786","133,560",0
Between 93 and 97,"248,472",0,"3,978","29,896","6,199","10,926","16,884","14,130","15,101","38,956","112,402",0
Between 98 and 99,0,0,0,0,0,0,0,0,0,0,0,0
