State	youthlit	youthlitm	youthlitf	unemp	totlit	totfemlit	totmalelit	housesize	dollarday	uniapptotal	uniappmale	uniappfem	babyimmdpt	babyimmhepb	genderparity	earlymarriage	water	sanitate	malaria	poverty	sum
Abia	0.026467793	0.087317212	0.030220119	1.000417635	0.06544553	0.053901673	0.060578027	-0.039782173	0.851714139	-1.051934086	-1.177692491	-0.91221383	0.69456794	1.061619445	-0.104773518	0.486460818	1.060327011	0.799819592	0.146248551	1.024735305	4.16344469
Abuja	0.968821092	0.990900603	0.974535335	-0.28443556	1.310583922	1.212962646	1.398294721	-0.88089098	-0.337970459	3.394507825	3.211201851	3.516356586	1.22260139	0.936024179	0.662474225	0.855690489	0.855387342	1.748323595	-0.688531389	-0.564921459	20.50191595
Adamawa	-0.50322099	-0.739546835	-0.331532477	-0.494684264	-0.57432171	-0.541816816	-0.615395834	0.485910831	1.116088494	-0.683774901	-0.697944918	-0.658647882	-1.230467392	-1.077985623	1.752773651	-0.140871147	-1.614966511	0.332863775	-0.099620677	1.072046518	-5.245114709
Akwa Ibom	0.642384982	0.39419459	0.800706166	-0.856779256	1.613269498	1.672701915	1.51214295	-0.355197976	-0.6904696	0.574025554	0.480272757	0.655638327	0.253847108	0.581666107	0.622092765	0.608342457	0.284879614	2.176366427	0.295321666	-0.621694915	10.64371114
Anambra	0.919547717	0.786315684	1.002723849	1.117222471	1.104207393	1.161161038	1.021172461	-0.670613778	-0.373220373	1.083891398	0.73488361	1.405187401	0.573993373	0.339446665	0.500948385	0.773241145	0.511974923	1.500253317	0.518799218	-0.129658298	13.8814776
Bauchi	-1.962944729	-2.342128698	-1.71276966	-0.775015871	-1.805701667	-1.616700177	-1.967343556	1.537296839	1.010338752	-0.891784569	-0.909314831	-0.859937639	-1.317780009	-1.208066434	-1.921939227	-1.198373602	-0.717663094	0.055608759	1.094909344	1.355913797	-16.15339627
Bayelsa	0.377540591	-0.066121477	0.659763597	-0.821737805	0.608903723	0.50069054	0.736551888	-0.88089098	-1.289718138	0.312391383	0.401862544	0.220225356	0.058433155	-0.122564492	0.137515243	-0.094269344	-0.640118354	-1.082596045	0.485457384	-1.085344805	-1.584026038
Benue	0.125014543	0.317475246	-0.021458824	1.677885683	0.106720836	-0.062651944	0.231350371	0.801326633	0.49040252	0.055613426	0.236042069	-0.120714613	-0.166085005	-0.046310224	0.177896703	0.178171967	-1.332482102	-0.815069275	0.929819893	0.447538503	3.210486406
Borno	-1.710418681	-2.13754378	-1.374507493	-0.73997442	0.333735018	0.552492147	0.103271113	0.275633629	-0.575907379	-0.896811689	-0.976495997	-0.804457874	-1.201363186	-1.091442259	-1.356598785	-1.295161963	-1.005686413	-0.31892872	1.252237669	-0.78255304	-13.7504821
Cross River	0.747090904	0.641401367	0.824196594	-0.880140223	0.299338929	0.118653683	0.45904683	-0.670613778	-0.769781906	-0.008378442	-0.001570421	-0.014857808	0.532415936	0.366359936	0.783618606	0.805503932	-0.955836223	-0.401618812	0.381126358	-0.915024437	1.340931025
Delta	0.857955998	0.880083772	0.857083194	-0.880140223	0.911589299	0.83740099	0.964248347	-1.091168181	0.173153294	1.078378075	1.174735372	0.966801277	0.091695104	0.227308035	1.106670288	0.63702049	0.966165542	0.955471531	-0.662134609	0.069048798	10.12136639
Ebonyi	0.857955998	0.786315684	-0.026156909	-0.553086682	-0.244119264	-0.218056768	-0.224042546	0.801326633	1.054401144	0.119809361	0.203372715	0.036583756	0.549046911	0.038915136	0.702855686	0.913046554	0.168562504	-0.85398226	0.919894675	1.04365979	6.076302118
Edo	1.085845358	1.110241806	1.082591306	-0.880140223	0.395647976	0.332335314	0.451931315	-0.670613778	0.384652778	1.251834191	1.424044106	1.06363722	0.831773482	0.931538633	0.379804004	0.819842948	0.694758952	0.999248639	-0.41680604	0.296142621	11.56831061
Ekiti	0.950343577	1.050571204	0.889969794	-0.891820707	0.925347734	1.012231416	0.829053575	-1.301445383	-0.796219342	0.651529939	0.787585782	0.508446196	1.713215146	1.828647677	0.420185464	0.999080652	1.065865921	-0.596183736	-1.211494422	-0.971797893	7.863112595
Enugu	0.73477256	0.641401367	0.814800423	-0.891820707	0.491957023	0.397087324	0.651165716	-0.460336577	0.155528337	0.876157032	0.796832675	0.938727336	0.665463734	0.496440748	0.662474225	0.852105735	-0.573651434	-0.041673703	0.143784007	0.258293651	7.609509473
Gombe	-0.096715645	-0.211035795	-0.044949252	-0.798376838	-0.828852763	-0.800824855	-0.857323321	0.591049432	-0.531844987	-0.748081467	-0.740357053	-0.743171679	-1.089104106	-1.113869985	0.420185464	-1.270068684	-1.659277791	-0.727515059	1.238927585	-0.896099952	-10.90730675
Imo	1.135118733	1.161388035	1.129572162	-0.90350119	0.567628417	0.539541745	0.615588145	-0.88089098	1.107276015	2.059200184	1.748336001	2.327223259	0.802669277	0.388787662	0.985525907	0.902292292	0.799998242	1.485660948	0.513359665	0.986886334	17.47166086
Jigawa	-1.365505055	-1.55788651	-1.28054578	0.708405545	-0.856369633	-0.988605683	-0.743475092	2.168128444	-0.963656433	-0.940441935	-0.96451755	-0.901424125	-1.338568728	-1.217037525	-1.598887546	-1.675145896	0.434430183	-1.4522694	1.208543977	-1.142118261	-14.466947
Kaduna	-0.971318054	-0.71397372	-1.134905124	0.930334734	-0.54680484	-0.56771762	-0.537125176	0.801326633	1.107276015	-0.669865521	-0.6971927	-0.632178604	-0.739853635	-0.889592724	0.339422544	0.031197049	0.041167574	-0.070858442	-0.680985544	0.911188393	-4.690458761
Kano	-0.447788443	-0.057597106	-0.632209959	0.661683611	-1.97080289	-1.823906607	-2.095422814	1.221881036	0.014528681	-0.884674128	-0.916252221	-0.839288556	-1.143154774	-1.167696528	-1.518124625	-1.499492946	-0.462873234	0.687944761	-0.402792842	0.343453834	-12.93258575
Katsina	-1.876716322	-1.131667929	-2.173182054	1.093861504	-1.929527584	-1.856282612	-1.960228041	1.116742436	0.384652778	-0.897360058	-0.920744315	-0.859729572	-0.922794358	-1.199095344	-2.204609449	-1.603450814	-0.296705935	-1.179878507	-1.650139974	0.277218136	-19.78963802
Kebbi	-0.965158882	-0.628730004	-1.158395553	1.128902955	-1.159055209	-1.286464927	-1.028095665	1.011603835	1.160150887	-0.909522903	-0.930265131	-0.87425896	-1.28451806	-1.243950796	0.137515243	-1.198373602	-1.565116321	-0.863710506	-1.692655533	1.195055672	-12.15504346
Kogi	0.543838232	0.70959634	0.476538256	1.269068758	-0.223481611	-0.269858375	-0.131540859	-1.511722585	0.957463881	0.500137468	0.733299825	0.265164358	1.559378629	1.572971599	0.460566924	0.67286803	-0.662273994	-0.912351737	0.24641923	1.053122033	7.309204403
Kwara	0.3097897	0.334523989	0.279218658	2.063341642	-1.234726603	-1.260564123	-1.149059408	-0.88089098	0.499214999	0.497071069	0.651668061	0.338526655	0.386894907	0.998821812	0.702855686	0.870029505	1.259727771	-0.270287489	-2.23479219	0.390765048	2.552128707
Lagos	1.12280039	1.144339292	1.120175991	-0.845098772	1.929713509	1.989986762	1.818110066	-0.775752379	0.032153638	-0.746910554	-0.857444077	-0.627055044	1.326544982	1.653711413	0.460566924	0.89153803	1.52005654	2.190958796	-0.626667498	0.466462989	13.188191
Nassarawa	-0.164466536	-0.296279511	-0.120118622	1.981578257	-0.904524156	-1.072783295	-0.722128549	1.011603835	-1.087031132	-0.109682954	0.162292406	-0.372264546	0.054275411	-0.07770904	0.299041084	0.30363836	-0.191466645	-0.58645549	0.866147133	-0.96233565	-1.988669642
Niger	-0.946681366	-0.313328254	-1.233564923	1.012098119	-0.409220487	-0.690746438	-0.110194316	1.432158238	-0.108846018	-0.812209451	-0.838600151	-0.773069842	-0.099561106	-0.019396952	-0.4278252	-0.614058686	0.716914592	0.9700639	0.616360994	0.22044468	-2.429262668
Ogun	0.63622581	0.325999617	0.82889468	-0.868459739	0.877193211	1.012231416	0.715205345	-1.301445383	-2.444152822	0.697621172	0.689385472	0.69404614	0.910770613	0.828371094	0.945144447	0.791164915	1.42589507	1.145172331	-0.700826524	-2.438445503	4.769991363
Ondo	0.999616952	0.948278745	1.035610449	-0.891820707	0.890951646	0.843876191	0.921555261	-1.511722585	0.07621603	0.686899439	0.834821922	0.53169229	1.027187436	1.28141116	0.420185464	0.866444751	0.500897103	-0.109771427	1.208312173	-0.035035871	10.52560642
Osun	1.005776124	0.982376232	1.021516192	-0.845098772	1.131724263	1.096409029	1.191944805	-1.196306782	-1.369030445	0.86437909	1.027944123	0.69101855	1.600956066	1.469804059	0.379804004	0.862859997	1.132332841	-0.119499673	-1.386075842	-1.170504989	8.372328874
Oyo	0.469928169	0.232231529	0.617480826	-0.856779256	0.657058246	0.720847373	0.608472631	-0.670613778	-2.074028725	-0.075704356	-0.071376461	-0.078654954	0.765249583	0.038915136	0.460566924	0.550986392	1.736074029	-0.323792843	-1.717326618	-2.06941804	-1.079884192
Plateau	0.118855371	-0.066121477	0.236935887	1.163944405	-0.753181369	-0.70369684	-0.793283692	1.011603835	-0.86671917	-0.668964607	-0.719250627	-0.60897307	0.31205552	0.478498567	0.177896703	0.73380885	-0.933680583	-1.364715185	1.059867475	-0.820402011	-3.005522016
Rivers	0.857955998	0.752218198	0.927554479	-0.868459739	0.980381475	1.154685837	0.77212946	-0.039782173	1.151338408	-0.077030227	-0.121505864	-0.032514169	-0.22845116	-0.100136766	0.662474225	0.780410653	0.711375682	0.055608759	-0.481118553	0.977424091	7.834558616
Sokoto	-1.944467213	-2.197214381	-1.708071574	0.521517808	0.505715459	0.546016946	0.437700287	1.116742436	-0.972468912	-0.904544599	-0.905916369	-0.888194409	-1.334410984	-1.243950796	-2.083465068	-1.743256224	-1.044458783	-0.761563921	0.622305223	-1.019109106	-15.00109418
Taraba	-0.244535771	0.172560928	-0.45838079	-0.506364748	-0.95267868	-0.820250458	-1.077904265	-0.565475177	1.78583686	-0.774008657	-0.78370904	-0.751728824	-1.384303908	-1.243950796	-1.760413387	-0.52085508	-1.548499591	-0.737243306	-1.17184852	1.611394349	-11.73235886
Yobe	-1.765851228	-1.839190773	-1.637600289	-0.681572002	-0.533046404	-0.580668022	-0.530009662	0.591049432	0.640214655	-0.964632656	-1.027326301	-0.8876705	-1.33025324	-1.21255198	-0.750876882	-1.34534852	-0.955836223	-0.562134874	0.903014983	0.655707842	-13.81458264
Zamfara	-0.527857678	-0.151365193	-0.561738674	0.685044578	-0.780698239	-0.593618424	-0.956940521	0.38077223	1.098463537	-0.987128847	-1.041104772	-0.918268208	-1.122366055	-1.243950796	-1.033547103	-1.987019501	0.273801794	-0.951264722	1.17295957	0.967961849	-8.277865177
